de|2248146944|262143
us|2248409088|196607
au|2248605696|65535
us|2248671232|589823
au|2249326592|65535
us|2249457664|65535
ch|2249523200|65535
ca|2249588736|65535
us|2249654272|126975
fr|2249781248|7
us|2249781256|4087
se|2249785344|65535
us|2249850880|65535
nl|2249916416|65535
de|2249981952|65535
us|2250047488|65535
de|2250113024|65535
ca|2250178560|65535
us|2250244096|131071
de|2250375168|65535
us|2250440704|65535
gb|2250506240|65535
fi|2250571776|65535
us|2250637312|589823
no|2251227136|65535
us|2251292672|393215
be|2251685888|65535
us|2251751424|196607
be|2251948032|65535
fr|2252013568|65535
de|2252079104|131071
us|2252210176|851967
kr|2253062144|65535
de|2253127680|65535
us|2253193216|262143
de|2253455360|65535
us|2253520896|65535
gb|2253586432|65535
us|2253651968|196607
ca|2253848576|65535
us|2253914112|131071
de|2254110720|1310719
us|2255421440|262143
au|2255683584|65535
us|2255749120|65535
ca|2255814656|65535
us|2255880192|65535
no|2255945728|65535
us|2256011264|655359
de|2256666624|65535
us|2256732160|458751
se|2257190912|65535
us|2257256448|196607
gb|2257453056|65535
nl|2257518592|65535
au|2257584128|65535
nl|2257649664|131071
de|2257780736|65535
au|2257846272|65535
us|2257911808|65535
ca|2257977344|65535
gb|2258042880|65535
us|2258108416|65535
ca|2258173952|65535
us|2258239488|65535
de|2258305024|65535
us|2258370560|65535
fr|2258436096|131071
us|2258567168|511
hk|2258567680|255
us|2258567936|255
hk|2258568192|255
us|2258568448|15103
gb|2258583552|8191
hk|2258591744|63
au|2258591808|31
tw|2258591840|7
jp|2258591848|7
tw|2258591856|79
hk|2258591936|31
au|2258591968|31
hk|2258592000|255
jp|2258592256|127
hk|2258592384|55
jp|2258592440|7
in|2258592448|31
hk|2258592480|15
jp|2258592496|15
au|2258592512|255
hk|2258592768|255
sg|2258593024|127
hk|2258593152|383
au|2258593536|511
hk|2258594048|255
bd|2258594304|255
hk|2258594560|255
au|2258594816|15
jp|2258594832|7
au|2258594840|7
jp|2258594848|31
hk|2258594880|79
jp|2258594960|7
au|2258594968|7
jp|2258594976|15
hk|2258594992|15
tw|2258595008|15
jp|2258595024|7
hk|2258595032|103
sg|2258595136|31
au|2258595168|31
hk|2258595200|15
au|2258595216|15
tw|2258595232|31
au|2258595264|31
sg|2258595296|31
kr|2258595328|7
tw|2258595336|7
hk|2258595344|7
jp|2258595352|7
hk|2258595360|23
kr|2258595384|7
hk|2258595392|31
au|2258595424|31
hk|2258595456|7
tw|2258595464|7
hk|2258595472|7
au|2258595480|15
hk|2258595496|23
au|2258595520|31
jp|2258595552|15
au|2258595568|15
tw|2258595584|7
hk|2258595592|7
au|2258595600|3
jp|2258595604|3
hk|2258595608|23
au|2258595632|7
jp|2258595640|3
au|2258595644|11
in|2258595656|7
au|2258595664|47
hk|2258595712|63
sg|2258595776|63
hk|2258595840|127
au|2258595968|15
hk|2258595984|15
au|2258596000|15
hk|2258596016|63
jp|2258596080|7
hk|2258596088|983
tw|2258597072|15
au|2258597088|31
hk|2258597120|775
nz|2258597896|7
au|2258597904|23
jp|2258597928|7
au|2258597936|15
nz|2258597952|31
jp|2258597984|15
tw|2258598000|15
hk|2258598016|127
kr|2258598144|95
au|2258598240|15
kr|2258598256|31
nz|2258598288|31
jp|2258598320|15
tw|2258598336|15
au|2258598352|47
hk|2258598400|31
au|2258598432|15
hk|2258598448|47
au|2258598496|23
nz|2258598520|7
jp|2258598528|39
au|2258598568|15
hk|2258598584|7
tw|2258598592|31
hk|2258598624|15
jp|2258598640|7
kr|2258598648|7
hk|2258598656|2081
au|2258600738|3
hk|2258600742|57
kr|2258600800|31
hk|2258600832|23
au|2258600856|3
hk|2258600860|99
sg|2258600960|127
