id|1912602624|1048575
jp|1913651200|524287
tw|1914175488|262143
cn|1914437632|65535
kr|1914503168|49151
sg|1914552320|8191
kh|1914560512|8191
kr|1914568704|8191
tw|1914576896|4095
kr|1914580992|4095
au|1914585088|2047
in|1914587136|2047
id|1914589184|4095
au|1914593280|8191
kr|1914601472|32767
bd|1914634240|8191
kr|1914642432|8191
mn|1914650624|2047
au|1914652672|2047
jp|1914654720|4095
au|1914658816|2047
kr|1914662912|4095
in|1914667008|16383
au|1914683392|4095
in|1914691584|4095
id|1914695680|2047
in|1914697728|2047
tw|1914699776|1048575
jp|1915748352|262143
kr|1916010496|131071
cn|1916141568|131071
id|1916272640|262143
cn|1916534784|589823
jp|1917124608|45055
nc|1917169664|8191
in|1917181952|8191
kr|1917190144|131071
au|1917321216|524287
cn|1917845504|1835007
kr|1919680512|49151
ph|1919729664|16383
th|1919746048|65535
cn|1919811584|4095
id|1919815680|2047
kr|1919817728|2047
nz|1919819776|2047
jp|1919823872|4095
cn|1919827968|16383
cn|1919877120|8191
kr|1919885312|8191
jp|1919893504|16383
au|1919909888|8191
cn|1919918080|8191
kr|1919926272|16383
cn|1919942656|524287
id|1920466944|524287
th|1920991232|65535
jp|1921056768|2047
bd|1921058816|2047
id|1921060864|2047
la|1921062912|2047
sg|1921064960|4095
jp|1921069056|4095
kr|1921073152|16383
au|1921089536|16383
kr|1921105920|16383
bd|1921122304|65535
cn|1921253376|65535
my|1921318912|65535
nz|1921384448|4095
jp|1921392640|8191
id|1921400832|4095
hk|1921404928|2047
bd|1921406976|2047
jp|1921409024|16383
nz|1921425408|8191
jp|1921433600|16383
cn|1921449984|65535
tw|1921515520|131071
cn|1921646592|131071
tw|1921777664|65535
kr|1921843200|8191
jp|1921851392|2047
kr|1921853440|2047
id|1921855488|4095
in|1921859584|2047
sg|1921861632|2047
bd|1921863680|2047
id|1921865728|2047
au|1921867776|4095
cn|1921875968|16383
au|1921892352|4095
kr|1921900544|8191
jp|1921908736|34815
in|1921943552|2047
hk|1921945600|4095
au|1921949696|4095
gu|1921957888|8191
in|1921974272|65535
jp|1922039808|3407871
cn|1925447680|131071
au|1925578752|32767
ph|1925611520|8191
tw|1925619712|8191
jp|1925627904|10239
sa|1925638144|255
pk|1925638400|255
kw|1925638656|255
eg|1925638912|255
ae|1925639168|255
eg|1925639424|255
kw|1925639680|255
sa|1925639936|255
id|1925640192|2047
au|1925642240|2047
kr|1925644288|16383
hk|1925660672|4095
id|1925664768|12287
kr|1925677056|557055
cn|1926234112|3145727
