cn|1879048192|4456447
jp|1883504640|262143
mn|1883766784|4095
kr|1883770880|12287
vn|1883783168|16383
kr|1883799552|32767
cn|1883832320|196607
kr|1884028928|131071
vn|1884160000|4095
tw|1884164096|4095
id|1884168192|4095
ph|1884172288|4095
tw|1884176384|8191
id|1884184576|2047
tw|1884186624|2047
jp|1884188672|4095
id|1884192768|16383
jp|1884209152|8191
sg|1884217344|8191
in|1884225536|65535
cn|1884291072|1572863
tw|1885863936|131071
kr|1885995008|196607
ph|1886191616|4095
id|1886195712|2047
kr|1886199808|8191
nz|1886208000|8191
cn|1886224384|32767
in|1886257152|65535
cn|1886322688|458751
hk|1886781440|196607
kr|1886978048|8191
tw|1886986240|4095
in|1886990336|4095
tw|1886994432|16383
th|1887010816|8191
hk|1887019008|8191
kr|1887027200|16383
cn|1887043584|720895
kr|1887764480|49151
in|1887813632|16383
lk|1887830016|131071
jp|1887961088|32767
kr|1887993856|32767
bd|1888026624|4095
hk|1888030720|4095
jp|1888034816|4095
in|1888038912|2047
jp|1888040960|18431
vn|1888059392|4095
jp|1888063488|4095
my|1888067584|4095
kr|1888071680|2047
jp|1888073728|165887
kr|1888239616|16383
jp|1888256000|4095
kr|1888260096|4095
id|1888264192|2047
jp|1888266240|2047
au|1888268288|2047
sg|1888270336|1023
th|1888271360|1023
kr|1888272384|16383
au|1888288768|32767
th|1888354304|131071
kr|1888485376|3145727
cn|1891631104|262143
in|1891893248|49151
kr|1891942400|8191
ph|1891950592|8191
vn|1891958784|65535
ph|1892024320|98303
sg|1892122624|32767
ph|1892155392|786431
kr|1892941824|73727
au|1893015552|4095
hk|1893023744|4095
vn|1893027840|4095
hk|1893031936|8191
au|1893040128|32767
kr|1893072896|65535
id|1893138432|65535
kr|1893203968|524287
cn|1893728256|2097151
