cn|2013265921|1048574
au|2014314496|524287
cn|2014838784|262143
ph|2015100928|65535
au|2015166464|16383
kr|2015199232|4095
jp|2015203328|2047
id|2015205376|2047
jp|2015207424|8191
hk|2015215616|511
ca|2015216128|1535
gu|2015217664|1792
ca|2015219457|4286
pg|2015223744|7
au|2015223752|7
ca|2015223760|47
id|2015223808|2047
in|2015225856|2047
au|2015227904|2047
cn|2015232000|1310719
bd|2016542720|8191
sg|2016550912|4095
my|2016555008|4095
kr|2016559104|24575
jp|2016583680|2047
bd|2016587776|2047
vn|2016589824|2047
jp|2016591872|81919
cn|2016673792|262143
in|2016935936|524287
cn|2017460224|524287
jp|2017984512|4095
ph|2017988608|4095
cn|2017992704|8191
jp|2018000896|4095
vn|2018004992|2047
in|2018007040|2047
vn|2018009088|8191
cn|2018017280|32767
kr|2018050048|65535
jp|2018115584|131071
cn|2018246656|786431
au|2019033088|2047
cn|2019035136|2047
jp|2019037184|4095
in|2019041280|4095
au|2019049472|8191
au|2019065856|16383
ph|2019098624|16383
us|2019115008|2047
in|2019117056|2047
nz|2019119104|2047
np|2019123200|8191
jp|2019131392|32767
cn|2019164160|196607
jp|2019360768|65535
cn|2019426304|131071
tw|2019557376|2097151
cn|2021654528|524287
nz|2022178816|2047
id|2022182912|2047
kh|2022184960|2047
us|2022187008|63
hk|2022187072|4031
nz|2022191104|2047
kr|2022195200|16383
cn|2022211584|16383
jp|2022227968|16383
cn|2022244352|32767
jp|2022277120|32767
ph|2022309888|4095
nz|2022313984|2047
au|2022318080|8191
vn|2022326272|4095
my|2022330368|4095
in|2022334464|8191
jp|2022342656|16383
in|2022359040|16383
my|2022375424|196607
kr|2022572032|65535
jp|2022637568|32767
ph|2022670336|8191
kr|2022678528|24575
au|2022703104|1048575
id|2023751680|2097151
cn|2025848832|4194303
