br|3372220417|6291454
mx|3378511872|5242879
cr|3384737792|1114111
ve|3385851904|262143
ar|3386114048|131071
cl|3386245120|131071
co|3386376192|16383
an|3386392576|5887
vg|3386398464|255
an|3386398720|10239
gt|3386408960|16383
ar|3386425344|16383
py|3386441728|16383
ec|3386458112|16383
uy|3386474496|16383
co|3386490880|8191
ec|3386507264|16383
pa|3386523648|16383
cl|3386540032|8191
pa|3386556416|16383
ec|3386572800|16383
ar|3386589184|8191
cl|3386605568|8191
co|3386621952|8191
an|3386638336|4095
co|3386646528|16383
cl|3386662912|8191
hn|3386671104|4095
ar|3386679296|8191
cu|3386687488|8191
cl|3386695680|8191
uy|3386703872|16383
tt|3386720256|8191
ar|3386728448|4095
cl|3386732544|2047
co|3386736640|16383
cl|3386753024|8191
pa|3386761216|8191
ve|3386769408|4095
an|3386777600|4095
bo|3386785792|16383
cl|3386802176|98303
pa|3386900480|262143
co|3387162624|65535
aw|3387228160|16383
do|3387260928|32767
pe|3387293696|65535
ar|3387359232|65535
co|3387424768|131071
ar|3387555840|12287
pe|3387568128|4095
ar|3387572224|639
co|3387572864|127
ar|3387572992|511
co|3387573504|127
ar|3387573632|2303
co|3387575936|127
ar|3387576064|255
ec|3387576320|4095
ar|3387580416|4095
pe|3387584512|4095
ar|3387588608|12287
co|3387600896|4095
ec|3387604992|8191
ve|3387613184|4095
co|3387617280|2047
ar|3387619328|67583
cl|3387686912|49151
co|3387736064|16383
cr|3387752448|65535
ve|3387817984|16383
tt|3387834368|16383
ec|3387858944|8191
cl|3387867136|81919
pe|3387949056|65535
cl|3388014592|65535
ve|3388080128|131071
co|3388211200|131071
cl|3388342272|65535
sv|3388407808|65535
ve|3388473344|131071
ar|3388604416|195839
py|3388800256|255
ar|3388800512|197119
