au|2030043136|2047
bd|2030045184|2047
cn|2030047232|4095
jp|2030051328|8191
kr|2030059520|49151
ph|2030108672|16383
kr|2030125056|16383
jp|2030141440|163839
cn|2030305280|131071
sg|2030436352|131071
cn|2030567424|2359295
au|2032926720|131071
cn|2033057792|262143
in|2033319936|4095
kr|2033324032|4095
id|2033328128|2047
jp|2033330176|6143
kr|2033336320|16383
id|2033352704|4095
tw|2033356800|2047
jp|2033358848|4095
th|2033362944|2047
tw|2033364992|4095
au|2033369088|8191
ph|2033377280|8191
cn|2033385472|65535
id|2033451008|36863
pk|2033487872|4095
cn|2033491968|8191
au|2033500160|2047
sg|2033502208|2047
cn|2033504256|12287
kr|2033516544|65535
ph|2033582080|32767
au|2033614848|8191
ph|2033623040|2047
hk|2033625088|2047
nz|2033627136|2047
kr|2033631232|16383
cn|2033647616|16383
kr|2033664000|32767
gu|2033696768|16383
cn|2033713152|163839
jp|2033876992|2047
id|2033879040|2047
cn|2033881088|4095
af|2033885184|2047
in|2033887232|2047
jp|2033889280|2047
id|2033891328|2047
ph|2033893376|16383
cn|2033909760|304015
fr|2034213776|3
de|2034213780|3
cn|2034213784|3
sl|2034213788|3
cn|2034213792|23647
kr|2034237440|262143
cn|2034499584|262143
nz|2034761728|262143
cn|2035023872|131071
kr|2035154944|65535
au|2035220480|32767
cn|2035253248|16383
nz|2035269632|16383
jp|2035286016|524287
kr|2035810304|65535
cn|2035875840|65535
nz|2035941376|65535
au|2036006912|65535
jp|2036072448|262143
ph|2036334592|131071
nz|2036465664|65535
id|2036596736|2047
jp|2036598784|2047
id|2036600832|4095
sg|2036604928|4095
af|2036609024|2047
kr|2036613120|16383
cn|2036629504|32767
au|2036662272|16383
jp|2036678656|16383
id|2036695040|2047
au|2036697088|2047
in|2036699136|4095
au|2036703232|2047
hk|2036705280|2047
mn|2036707328|2047
id|2036709376|2047
kr|2036711424|4095
cn|2036715520|4095
kr|2036719616|8191
jp|2036727808|1179647
my|2037907456|262143
kr|2038169600|196607
ph|2038366208|8191
af|2038374400|8191
kr|2038382592|32767
au|2038415360|8191
hk|2038423552|8191
kr|2038431744|4194303
cn|2042626048|524287
au|2043150336|16383
kr|2043166720|16383
jp|2043183104|16383
bd|2043199488|2047
jp|2043201536|2047
au|2043203584|2047
au|2043207680|4095
cn|2043215872|65535
hk|2043281408|131071
cn|2043412480|262143
au|2043674624|1048575
cn|2044723200|1048575
in|2045771776|524287
cn|2046296064|262143
kr|2046558208|147455
tw|2046705664|16383
kr|2046722048|32767
cn|2046754816|65535
