jp|3674210304|221439
ua|3674431744|255
jp|3674432000|3972607
in|3678404608|131071
jp|3678535680|131071
tw|3678666752|262143
cn|3678928896|65535
hk|3678994432|32767
jp|3679027200|32767
sg|3679059968|98303
jp|3679158272|32767
hk|3679191040|262143
tw|3679453184|131071
cn|3679584256|65535
id|3679649792|32767
in|3679682560|32767
tw|3679715328|262143
nz|3679977472|131071
tw|3680108544|16383
ph|3680124928|8191
in|3680133120|4095
hk|3680137216|4095
au|3680141312|32767
tw|3680174080|32767
in|3680206848|32767
my|3680239616|163839
jp|3680403456|32767
my|3680436224|65535
jp|3680501760|2097151
cn|3682598912|2097151
jp|3684696064|3670015
cn|3688366080|1572863
kr|3689938944|131071
cn|3690070016|393215
kr|3690463232|524287
